# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat6.bin
# Input size: 10000 x 10000
# Format: dense
# Block sizes: 1, 4, 8, 16, 32, 64, 128, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
16, 8, 9561, 564007, 114735, 708359, 324097, 390931, 1526846, 27898, 69596, 16, 59, 16580, 2225839
16, 8, 8906, 607031, 80868, 732842, 355103, 392847, 1537428, 21836, 69299, 10, 58, 16536, 2285336
16, 16, 17386, 958847, 166108, 1500049, 629014, 740075, 3080178, 27430, 140193, 25, 240, 16127, 4195494
16, 16, 18357, 747631, 163426, 1477142, 615736, 771894, 3072503, 20670, 126209, 25, 222, 16647, 3957959
16, 16, 19967, 1299087, 167469, 1428970, 630696, 760787, 3046983, 28080, 159590, 29, 226, 16632, 4511533
16, 16, 18497, 1257090, 149418, 1407691, 615243, 763962, 2982167, 27644, 127209, 27, 226, 22856, 4389863
16, 16, 19289, 1073329, 173619, 1471512, 631802, 756152, 3091754, 15092, 144609, 25, 234, 29440, 4315103
16, 16, 15062, 1279990, 167016, 1482813, 637789, 754742, 3093127, 27377, 139209, 24, 225, 15743, 4519990
16, 16, 18080, 349291, 193576, 1516172, 594058, 765956, 3136109, 21011, 148830, 24, 231, 15974, 3623203
16, 16, 19019, 629727, 189918, 1561962, 636162, 728375, 3179049, 20770, 140898, 26, 236, 15749, 3942842
16, 16, 18242, 1109426, 159039, 1462896, 646427, 770885, 3097147, 20777, 138517, 28, 227, 23381, 4349845
16, 16, 19157, 1125552, 161849, 1532072, 606829, 737231, 3090069, 26896, 145527, 28, 212, 23454, 4378807
16, 32, 19734, 912120, 327980, 3102215, 1187160, 1491142, 6337745, 28074, 305461, 51, 918, 23572, 7398427
16, 32, 23504, 974926, 312975, 3045775, 1247738, 1486394, 6266022, 14620, 267625, 58, 960, 24401, 7398976
16, 32, 22576, 510974, 350644, 2955500, 1232106, 1477992, 6233781, 20775, 297981, 61, 977, 23391, 6892977
16, 32, 23334, 917110, 347031, 2928136, 1218734, 1483048, 6192401, 20454, 289695, 65, 944, 16201, 7244752
16, 32, 23604, 1016396, 356035, 2929151, 1256030, 1463732, 6278954, 33976, 355603, 58, 930, 23551, 7459066
