# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 1, 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
1, 512, 687465, 156835, 316975, 82968053, 823401, 4111721, 88370527, 35532, 152881, 218, 13173, 2723, 89268977
1, 512, 690616, 185740, 237981, 83227912, 649145, 4078861, 88324000, 35584, 132626, 219, 13177, 2789, 89254650
1, 512, 689801, 154540, 801092, 83155592, 1792348, 4369214, 90484862, 42268, 413037, 239, 13085, 12533, 91443749
1, 1024, 1373577, 458019, 501022, 329682930, 1229008, 7852075, 339595612, 35851, 272162, 342, 72514, 4678, 341482178
1, 1024, 1375675, 410561, 287461, 329080340, 774788, 7728921, 338090492, 35670, 160935, 334, 72099, 4679, 339931463
1, 1024, 1365233, 408643, 255903, 329398962, 679654, 7711431, 338252250, 35635, 148152, 264, 72281, 4639, 340080797
1, 1024, 1386942, 411256, 246500, 330869669, 812077, 7715896, 339840608, 35629, 138294, 333, 72601, 4573, 341693770
1, 1024, 1381007, 410790, 421551, 329605793, 1115404, 7828846, 339216601, 35651, 186780, 396, 72360, 4769, 341063347
1, 1024, 1362864, 408886, 309469, 327219405, 859252, 7686390, 336325385, 35627, 193401, 323, 71815, 4758, 338152190
1, 1024, 1373956, 407988, 244417, 329577476, 772325, 7705233, 338492566, 35542, 134693, 388, 72351, 4733, 340329102
1, 1024, 1404786, 411551, 270212, 328950787, 822495, 7795472, 338056381, 35648, 158633, 365, 72721, 86728, 340009398
1, 1024, 1380963, 433380, 260818, 329541728, 752685, 7719581, 338484875, 115749, 147801, 295, 72205, 4632, 340429837
1, 1024, 1372613, 409910, 399712, 329815150, 1062227, 7791346, 339364894, 35751, 238561, 281, 72353, 4685, 341202589
4, 2, 2331, 1220, 31741, 19214, 1562, 59963, 78636, 35549, 710, 3, 8, 601, 152902
4, 2, 2707, 1613, 34431, 20184, 1537, 64061, 76079, 39050, 737, 3, 8, 314, 164645
4, 2, 2821, 1588, 34914, 19059, 1601, 60268, 72552, 38943, 1028, 2, 6, 493, 160723
4, 2, 2813, 1530, 33505, 19252, 1660, 60600, 72551, 39103, 1033, 2, 6, 454, 159958
4, 2, 3036, 1628, 39951, 19209, 1629, 60414, 72115, 38506, 1074, 2, 7, 427, 165883
4, 2, 2807, 1598, 34354, 19748, 1526, 60099, 73176, 40187, 1008, 2, 6, 529, 161864
4, 2, 2702, 1649, 34120, 20128, 1517, 60052, 73262, 39411, 1005, 2, 6, 524, 161116
4, 2, 2888, 1690, 33731, 19072, 1588, 60952, 72815, 38814, 1541, 2, 6, 370, 160654
4, 2, 2416, 1433, 34772, 19359, 1640, 61178, 72833, 38959, 1029, 2, 26, 347, 161161
4, 2, 2329, 1397, 33770, 19386, 1599, 60549, 73348, 39628, 1770, 2, 7, 454, 160891
4, 4, 22791, 2062, 54426, 71838, 2353, 86965, 173194, 40069, 1732, 3, 12, 339, 282590
4, 4, 23633, 2071, 53364, 70762, 2354, 80919, 171470, 36063, 1478, 3, 10, 619, 271276
4, 4, 23652, 2147, 53911, 73037, 2288, 80580, 173962, 36061, 1924, 4, 12, 587, 274203
4, 4, 23611, 1990, 50149, 73161, 2278, 82915, 175501, 35396, 1489, 3, 11, 613, 271616
4, 4, 23535, 2106, 54478, 73468, 2312, 81134, 175128, 36176, 2045, 3, 10, 625, 275892
4, 4, 23211, 2063, 54704, 73292, 2315, 81458, 175455, 35431, 1428, 4, 10, 637, 274553
4, 4, 23139, 2045, 53810, 73827, 2261, 81259, 174689, 35435, 1570, 4, 10, 616, 273976
4, 4, 23492, 2091, 52184, 73615, 2294, 81056, 173933, 36659, 1107, 4, 11, 607, 273120
4, 4, 23627, 2067, 54472, 73072, 2325, 81413, 174539, 35486, 1529, 3, 10, 606, 274610
4, 4, 23648, 2102, 53340, 73375, 2253, 80981, 174754, 35950, 1442, 2, 10, 578, 273681
4, 8, 43881, 3156, 96957, 163033, 3702, 137541, 369623, 36416, 3648, 6, 21, 645, 489006
4, 8, 44123, 2918, 97895, 162459, 3691, 136649, 366341, 35742, 3709, 7, 23, 658, 487874
4, 8, 44029, 2832, 160253, 278978, 200945, 143427, 762231, 35727, 16565, 7, 21, 662, 883446
4, 8, 44578, 2890, 99223, 163224, 3553, 138420, 370625, 35918, 3846, 6, 26, 647, 492331
4, 8, 44165, 2746, 153467, 310910, 137205, 146493, 714613, 35897, 4814, 10, 26, 656, 836389
4, 8, 44303, 2791, 96834, 164807, 3519, 137736, 367893, 35767, 2853, 5, 20, 591, 489226
4, 8, 44331, 2769, 97247, 166212, 3521, 136649, 368938, 35759, 2646, 3, 19, 582, 489738
4, 8, 44335, 2654, 98282, 165190, 3418, 136520, 368656, 35511, 2747, 6, 21, 829, 489513
4, 8, 44333, 2915, 97751, 162183, 3517, 139048, 367888, 35875, 2787, 6, 19, 615, 489049
4, 8, 44541, 2644, 98339, 162380, 3632, 137366, 366760, 36055, 3002, 4, 18, 598, 488579
4, 16, 87545, 6303, 194927, 426619, 6674, 248750, 849139, 35885, 8503, 9, 51, 706, 1015972
4, 16, 87807, 6457, 198631, 426370, 6548, 248411, 847990, 35880, 6892, 12, 54, 663, 1017725
4, 16, 87584, 6411, 196263, 426426, 6589, 246182, 844829, 35681, 8195, 7, 54, 735, 1014127
4, 16, 87907, 6416, 192529, 424728, 6682, 247818, 842985, 35846, 6723, 7, 51, 712, 1009419
4, 16, 87839, 6399, 194098, 423464, 6606, 246303, 841797, 35899, 6843, 9, 53, 724, 1008237
