# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
5, Spectra, 0, 16, 1.6738, 364502
5, Spectra, 0, 32, 0.468584, 585160
5, Spectra, 0, 64, 0.126526, 1474141
5, Spectra, 0, 128, 0.0554115, 2577478
5, Spectra, 0, 256, 0.0276864, 6128105
5, Spectra, 0, 512, 0.00640218, 13099420
5, Spectra, 0, 1024, 0.00125094, 26634645
5, Spectra, 0, 2048, 1.41446e-11, 54098673
5, Spectra, 0, 4096, 2.44454e-14, 69969089
5, RSVD, 32, 1, 0.353821, 85169
5, RSVD, 32, 2, 0.353821, 104599
5, RSVD, 32, 4, 0.501813, 127576
5, RSVD, 32, 8, 0.712454, 201343
5, RSVD, 32, 16, 1.00675, 330257
5, RSVD, 32, 32, 1.11698, 617687
5, RSVD, 32, 64, 1.10455, 1165922
5, RSVD, 32, 128, 1.09586, 2645588
5, RSVD, 32, 256, 1.08678, 5138351
5, RSVD, 32, 512, 1.07244, 10808118
5, RSVD, 32, 1024, 1.05031, 30627880
5, RSVD, 32, 2048, 1.021, 66842570
5, RSVD, 32, 4096, 0.969849, 135057932
6, ABRIK, 1, 0, 1, 66035
6, ABRIK, 4, 4, 1.39844, 98606
6, ABRIK, 4, 8, 1.06559, 176800
6, ABRIK, 4, 16, 1.68392, 328779
6, ABRIK, 4, 32, 0.970795, 648437
6, ABRIK, 4, 64, 0.2698, 1288030
6, ABRIK, 4, 128, 0.0924205, 2809711
6, ABRIK, 4, 256, 0.0349447, 6525620
6, ABRIK, 4, 512, 0.00914383, 15356082
6, ABRIK, 4, 1024, 0.000142181, 38999003
6, ABRIK, 4, 2048, 5.61464e-14, 109553279
6, ABRIK, 4, 4096, 5.84204e-14, 329287750
6, ABRIK, 8, 8, 1.97675, 160201
6, ABRIK, 8, 16, 1.50991, 312970
6, ABRIK, 8, 32, 1.55034, 595650
6, ABRIK, 8, 64, 0.456513, 1227352
6, ABRIK, 8, 128, 0.152407, 2663784
6, ABRIK, 8, 256, 0.0581822, 6220728
6, ABRIK, 8, 512, 0.0186914, 14832870
6, ABRIK, 8, 1024, 0.00340883, 36448854
6, ABRIK, 8, 2048, 8.15267e-09, 94241954
