# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/ABRIK_test_mat1.bin
# Input size: 10000 x 10000
# Format: dense
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
5, ABRIK, 16, 512, 1.17029e-13, 7792686
5, ABRIK, 16, 1024, 1.17344e-13, 14820217
5, ABRIK, 16, 2048, 1.13006e-13, 28607600
5, ABRIK, 16, 4096, 1.15634e-13, 56382217
5, ABRIK, 32, 32, 4.0398, 451544
5, ABRIK, 32, 64, 0.187782, 1096806
5, ABRIK, 32, 128, 0.0027856, 2802005
5, ABRIK, 32, 256, 7.79041e-08, 5477629
5, ABRIK, 32, 512, 1.03909e-13, 10990645
5, ABRIK, 32, 1024, 1.0602e-13, 17720552
5, ABRIK, 32, 2048, 1.07022e-13, 31402984
5, ABRIK, 32, 4096, 1.0696e-13, 59305287
5, Spectra, 0, 1, 1.07751, 607614
5, Spectra, 0, 2, 1.07751, 606402
5, Spectra, 0, 4, 1.07751, 606800
5, Spectra, 0, 8, 1.07751, 606377
5, Spectra, 0, 16, 1.07751, 606462
5, Spectra, 0, 32, 0.0639794, 864680
5, Spectra, 0, 64, 2.28951e-10, 1676814
5, Spectra, 0, 128, 5.7612e-14, 2702119
5, Spectra, 0, 256, 5.68262e-14, 4387085
5, Spectra, 0, 512, 5.68262e-14, 4355455
5, Spectra, 0, 1024, 5.68262e-14, 4391383
5, Spectra, 0, 2048, 5.68262e-14, 4390646
5, Spectra, 0, 4096, 5.68262e-14, 4392886
5, RSVD, 32, 1, 1.08094, 143493
5, RSVD, 32, 2, 1.08094, 137585
5, RSVD, 32, 4, 0.446462, 180404
5, RSVD, 32, 8, 0.667184, 454171
5, RSVD, 32, 16, 0.624155, 596941
5, RSVD, 32, 32, 0.320638, 389976
